,label,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,kernel_target_alignment,expressibility_kl,kernel_computation_time_s
quantum_linear,Quantum Kernel SVM (linear entanglement),0.6833333333333333,0.06770032003863298,0.6717845117845117,0.08906481926585004,0.08347493102259666,0.12758831068014728,0.4476175308227539
quantum_full,Quantum Kernel SVM (full entanglement),0.675,0.07168604389202192,0.6557824966795218,0.08476429230167831,0.08153633803442717,0.08584724696542609,0.685685396194458
svm_rbf,Classical SVM (RBF kernel),0.9333333333333333,0.062360956446232345,0.9371794871794872,0.05796233105362726,,,0.016419410705566406
svm_poly,"Classical SVM (polynomial, deg=3)",0.9416666666666667,0.056519416526043906,0.944,0.054258639865002144,,,0.015600919723510742
svm_linear,Classical SVM (linear kernel),0.95,0.0311804782231162,0.9532307692307693,0.028626962091355068,,,0.017519474029541016
neural_net,"Neural Network (MLP, 2x16)",0.9583333333333334,0.045643546458763846,0.96,0.04381780460041329,,,0.7841646671295166
